method,topology,regime,duplication,schedule,seed,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
ec_exact,tree,duplicate,16,sync,0,0.36189657593976565,5.469914061605226e-16,1.037924584497183,1.0,0.9999999999999998,6.713182311478252e-16,3.6736424324257597,3.6736424324257597,2.6645352591003757e-15
naive_sum,tree,duplicate,16,sync,0,0.06993457154273741,0.369504726311786,573804259684925.2,0.0,7447423721036809.0,7606109563748734.0,76.43898168981045,3.6736424324257597,3.479960481243694
mean_pool,tree,duplicate,16,sync,0,1.055093643970419,0.6996717366437855,5.706658128598717,1.0,0.21858445553739964,0.8001871815920638,0.7619488878696911,3.6736424324257597,0.0013042747702486368
cov_int,tree,duplicate,16,sync,0,0.9636273724357081,0.6105922589147708,5.319481789379982,1.0,0.23085012292046395,0.7927563832145734,0.8767076355154655,3.6736424324257597,4.773959005888173e-15
inv_cov_int,tree,duplicate,16,sync,0,0.7528078702401338,0.41498713130546183,4.453239196604071,1.0,0.29444256766754684,0.7164104150146536,1.2285755920438495,3.6736424324257597,0.181723993099292
bp_backtrack,tree,duplicate,16,sync,0,0.06778803002955305,0.3698115241790165,32817720031.389538,0.0,417920805351.43585,426870716298.247,56.885672906480075,3.6736424324257597,3.8451588414305746
bp_cavity,tree,duplicate,16,sync,0,0.08240136541473811,0.3140929196546486,-3.90490849168697,1.0,13.782144026807789,13.085912717873363,8.861364433051609,3.6736424324257597,5.329070518200751e-15
bp_trw,tree,duplicate,16,sync,0,0.08240136541473811,0.3140929196546486,-3.90490849168697,1.0,13.782144026807789,13.085912717873363,8.861364433051609,3.6736424324257597,5.329070518200751e-15
ec_exact,tree,duplicate,16,async,0,0.36189657593976565,5.419157202842918e-16,1.037924584497183,1.0,0.9999999999999999,6.584935384334285e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
naive_sum,tree,duplicate,16,async,0,0.07420724827341221,0.3604966843749734,40282790.77773838,0.0,360632852.0386597,368256551.80746204,42.10294114856576,3.6736424324257597,8.354030728079934
mean_pool,tree,duplicate,16,async,0,1.0579009270267137,0.7025117402740448,5.72236049524237,1.0,0.2180961514942876,0.8007909293664368,0.7579016274495893,3.6736424324257597,0.0032934416152532453
cov_int,tree,duplicate,16,async,0,0.9686141056863393,0.6164574473002604,5.329207460543329,1.0,0.23087164556298184,0.7923332290309839,0.8764387213633127,3.6736424324257597,2.071491467803277e-06
inv_cov_int,tree,duplicate,16,async,0,0.8261258621675605,0.4833025561100792,4.452337479143192,0.9375,0.32520529857171926,0.6787085054101214,1.361276479052471,3.6736424324257597,0.45729337822984806
bp_backtrack,tree,duplicate,16,async,0,0.06992545352706914,0.36319193033855485,66378.79877736742,0.0,809328.9383015105,825272.9379433378,30.178921015968214,3.6736424324257597,6.215973993357963
bp_cavity,tree,duplicate,16,async,0,0.08240136541473805,0.3140929196546486,-3.904908491686972,1.0,13.782144026807792,13.085912717873367,8.861364433051609,3.6736424324257597,0.0
bp_trw,tree,duplicate,16,async,0,0.08240136541473805,0.3140929196546486,-3.904908491686972,1.0,13.782144026807792,13.085912717873367,8.861364433051609,3.6736424324257597,0.0
ec_exact,tree,duplicate,16,lossy,0,0.3618965759397656,5.425164772337049e-16,1.037924584497183,1.0,0.9999999999999999,6.747591164488946e-16,3.6736424324257597,3.6736424324257597,2.6645352591003757e-15
naive_sum,tree,duplicate,16,lossy,0,0.08148132448843272,0.334290717019423,21263787.691402897,0.0,200707691.34698737,203648182.23469606,41.06271308916382,3.6736424324257597,6.1042186755991565
mean_pool,tree,duplicate,16,lossy,0,1.0750852705024632,0.7200268674253861,5.781385998684561,1.0,0.21753824559428706,0.8019527875390089,0.7537782995010517,3.6736424324257597,0.02020315481528967
cov_int,tree,duplicate,16,lossy,0,0.9640440306508359,0.6109392900092016,5.320441385901459,1.0,0.2308982826590842,0.7926430001636033,0.877019344896518,3.6736424324257597,2.803321644484491e-06
inv_cov_int,tree,duplicate,16,lossy,0,0.7666024703060556,0.44274168229257305,4.487257620326728,1.0,0.28430143030278,0.7301461066595332,1.174067896438372,3.6736424324257597,0.09290155071469597
bp_backtrack,tree,duplicate,16,lossy,0,0.06740624140795035,0.3447401519429575,38230.29067003533,0.0625,451613.8843267598,459330.98061704886,29.109110143182033,3.6736424324257597,5.618759783018131
bp_cavity,tree,duplicate,16,lossy,0,0.08240136541473816,0.31409291965464836,-3.904908491686971,1.0,13.78214402680779,13.085912717873363,8.861364433051609,3.6736424324257597,1.7763568394002505e-15
bp_trw,tree,duplicate,16,lossy,0,0.08240136541473816,0.31409291965464836,-3.904908491686971,1.0,13.78214402680779,13.085912717873363,8.861364433051609,3.6736424324257597,1.7763568394002505e-15
ec_exact,tree,duplicate,16,delayed,0,0.3618965759397656,5.332419193401898e-16,1.037924584497183,1.0,0.9999999999999999,6.879201335928856e-16,3.6736424324257597,3.6736424324257597,2.6645352591003757e-15
naive_sum,tree,duplicate,16,delayed,0,0.04284125445907354,0.3659853668748523,18762.608305841342,0.046875,666390.4520565087,674465.7069353673,29.77287649016325,3.6736424324257597,4.735234808159895
mean_pool,tree,duplicate,16,delayed,0,1.0802269266595652,0.7259908578105656,5.768377144798128,1.0,0.2181128798243413,0.8016700736722429,0.7589587565354508,3.6736424324257597,0.01161776241770518
cov_int,tree,duplicate,16,delayed,0,0.9719326066344602,0.6200212576521102,5.3355311756337365,1.0,0.23111456177409223,0.7914001430656377,0.8770565558673302,3.6736424324257597,0.0013237712376227284
inv_cov_int,tree,duplicate,16,delayed,0,0.7619976325887431,0.43493889318321916,4.4302160646062285,1.0,0.29248560311143257,0.7207238476076467,1.2270669212831262,3.6736424324257597,0.19096962795459427
bp_backtrack,tree,duplicate,16,delayed,0,0.06992545352706914,0.36319193033855485,66378.79877736742,0.0,809328.9383015105,825272.9379433378,30.178921015968214,3.6736424324257597,6.215973993357963
bp_cavity,tree,duplicate,16,delayed,0,0.08240136541473805,0.3140929196546486,-3.904908491686972,1.0,13.782144026807792,13.085912717873367,8.861364433051609,3.6736424324257597,0.0
bp_trw,tree,duplicate,16,delayed,0,0.08240136541473805,0.3140929196546486,-3.904908491686972,1.0,13.782144026807792,13.085912717873367,8.861364433051609,3.6736424324257597,0.0
ec_exact,tree,duplicate,16,repeating,0,0.3618965759397656,5.338922030754259e-16,1.0379245844971825,1.0,1.0,6.518260023687444e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
naive_sum,tree,duplicate,16,repeating,0,0.054016643809939466,0.3906919216269279,16198617.954200767,0.0,328766978.791721,335858097.41615814,42.41496811648898,3.6736424324257597,4.297992209013081
mean_pool,tree,duplicate,16,repeating,0,1.0679676181523616,0.7127684546437882,5.7277560502784715,1.0,0.21765787553284166,0.8013341841657663,0.7535073507606167,3.6736424324257597,0.007782922966843131
cov_int,tree,duplicate,16,repeating,0,0.9688934331463714,0.617131160482139,5.325379659636415,1.0,0.2310316512796869,0.7923571653866597,0.8778075842191027,3.6736424324257597,1.1712673928521156e-05
inv_cov_int,tree,duplicate,16,repeating,0,0.8279919961961513,0.48599892311386794,4.77667743461,0.9375,0.2932445104633726,0.7173980776491717,1.1962310233137343,3.6736424324257597,0.37033315291856184
bp_backtrack,tree,duplicate,16,repeating,0,0.06992545352706914,0.36319193033855485,66378.79877736742,0.0,809328.9383015105,825272.9379433378,30.178921015968214,3.6736424324257597,6.215973993357963
bp_cavity,tree,duplicate,16,repeating,0,0.08240136541473805,0.3140929196546486,-3.904908491686972,1.0,13.782144026807792,13.085912717873367,8.861364433051609,3.6736424324257597,0.0
bp_trw,tree,duplicate,16,repeating,0,0.08240136541473805,0.3140929196546486,-3.904908491686972,1.0,13.782144026807792,13.085912717873367,8.861364433051609,3.6736424324257597,0.0
ec_exact,tree,duplicate,16,adversarial,0,0.3618965759397656,4.917202757161129e-16,1.037924584497183,1.0,1.0,7.262936788041858e-16,3.6736424324257597,3.6736424324257597,2.220446049250313e-15
naive_sum,tree,duplicate,16,adversarial,0,0.13264027531707095,0.37770316622672173,227956.35214542656,0.015625,732601.3130504119,761255.8819138645,29.53885537316532,3.6736424324257597,8.231125651868169
mean_pool,tree,duplicate,16,adversarial,0,1.0420141394199711,0.6862089325293943,5.685443786129468,1.0,0.2195068049738151,0.7985669386805091,0.7668719802445774,3.6736424324257597,0.008055124131020941
cov_int,tree,duplicate,16,adversarial,0,0.9628995587806743,0.6100514485084166,5.318240140672121,1.0,0.2308748892637445,0.792534938025654,0.8768352897967129,3.6736424324257597,0.00020416456182803522
